Region ID,Name,Channel,Chrom,Start,End,Chrom ID
1,chr1-#1,1,chr1,3100000,3125000,1
2,chr1-#2,1,chr1,5000000,5025000,1
3,Atp6v1h,2,chr1,5057518,5082518,1
4,chr1-#3,1,chr1,7000000,7025000,1
5,chr1-#4,1,chr1,8800000,8825000,1
6,Adhfe1,2,chr1,9535448,9560448,1
7,Arfgef1,2,chr1,10220170,10245170,1
8,chr1-#5,1,chr1,11000000,11025000,1
9,chr1-#6,1,chr1,13000000,13025000,1
10,Prdm14,2,chr1,13114663,13139663,1
11,chr1-#7,1,chr1,15000000,15025000,1
12,Rdh10,2,chr1,16093274,16118274,1
13,chr1-#8,1,chr1,17000000,17025000,1
14,Pi15,2,chr1,17589401,17614401,1
15,chr1-#9,1,chr1,19000000,19025000,1
16,chr1-#10,1,chr1,21000000,21025000,1
17,Gsta3,2,chr1,21228089,21253089,1
18,chr1-#11,1,chr1,23000000,23025000,1
19,B3gat2,2,chr1,23749253,23774253,1
20,Col19a1,2,chr1,24574972,24599972,1
21,chr1-#12,1,chr1,25000000,25025000,1
22,chr1-#13,1,chr1,27225000,27250000,1
23,chr1-#14,1,chr1,29000000,29025000,1
24,chr1-#15,1,chr1,31000000,31025000,1
25,chr1-#16,1,chr1,32800000,32825000,1
26,Prim2,2,chr1,33657295,33682295,1
27,chr1-#17,1,chr1,35000000,35025000,1
28,chr1-#18,1,chr1,37000000,37025000,1
29,chr1-#19,1,chr1,39000000,39025000,1
30,Slc9a2,2,chr1,40668074,40693074,1
31,chr1-#20,1,chr1,41000000,41025000,1
32,chr1-#21,1,chr1,43000000,43025000,1
33,Gulp1,2,chr1,44539011,44564011,1
34,chr1-#22,1,chr1,45000000,45025000,1
35,Col5a2,2,chr1,45490782,45515782,1
36,chr1-#23,1,chr1,47000000,47025000,1
37,chr1-#24,1,chr1,49200000,49225000,1
38,Tmeff2,2,chr1,50897462,50922462,1
39,chr1-#25,1,chr1,51000000,51025000,1
40,chr1-#26,1,chr1,53000000,53025000,1
41,chr1-#27,1,chr1,55000000,55025000,1
42,Boll,2,chr1,55350969,55375969,1
43,Satb2,2,chr1,56966150,56991150,1
44,chr1-#28,1,chr1,57000000,57025000,1
45,chr1-#29,1,chr1,59000000,59025000,1
46,Icos,2,chr1,60965427,60990427,1
47,chr1-#30,1,chr1,61000000,61025000,1
48,Pard3b,2,chr1,61626324,61651324,1
49,chr1-#31,1,chr1,62975000,63000000,1
50,Klf7,2,chr1,64109782,64134782,1
51,chr1-#32,1,chr1,65000000,65025000,1
52,Idh1,2,chr1,65174000,65199000,1
53,chr1-#33,1,chr1,67000000,67025000,1
54,Lancl1,2,chr1,67026372,67051372,1
55,chr1-#34,1,chr1,69000000,69025000,1
56,Ikzf2,2,chr1,69674745,69699745,1
57,chr1-#35,1,chr1,71000000,71025000,1
58,Mreg,2,chr1,72199807,72224807,1
59,Igfbp2,2,chr1,72812003,72837003,1
60,chr1-#36,1,chr1,73000000,73025000,1
61,chr1-#37,1,chr1,75000000,75025000,1
